Sl. No.,Category,State/UT,By Consuming Sleeping Pills - Male,By Consuming Sleeping Pills - Female,By Consuming Sleeping Pills - Transgender,By Consuming Sleeping Pills - Total,By Drowning - Male,By Drowning - Female,By Drowning - Transgender,By Drowning - Total,By Fire/Self Immolation - Male,By Fire/Self Immolation - Female,By Fire/Self Immolation - Transgender,By Fire/Self Immolation - Total,By Firearms - Male,By Firearms - Female,By Firearms - Transgender,By Firearms - Total,By Hanging - Male,By Hanging - Female,By Hanging - Transgender,By Hanging - Total,By Poison (Total) - Male,By Poison (Total) - Female,By Poison (Total) - Transgender,By Poison (Total) - Total,By Poison (By Consuming Insecticides) - Male,By Poison (By Consuming Insecticides) - Female,By Poison (By Consuming Insecticides) - Transgender,By Poison (By Consuming Insecticides) - Total,By Poison (By Consuming other Poison) - Male,By Poison (By Consuming other Poison) - Female,By Poison (By Consuming other Poison) - Transgender,By Poison (By Consuming other Poison) - Total,By Self Inflicting Injury - Male,By Self Inflicting Injury - Female,By Self Inflicting Injury - Transgender,By Self Inflicting Injury - Total,Jumping (Total) - Male,Jumping (Total) - Female,Jumping (Total) - Transgender,Jumping (Total) - Total,Jumping (from Building) - Male,Jumping (from Building) - Female,Jumping (from Building) - Transgender,Jumping (from Building) - Total,Jumping (from Other Sites) - Male,Jumping (from Other Sites) - Female,Jumping (from Other Sites) - Transgender,Jumping (from Other Sites) - Total,Jumping (by Jumping off Moving Trains/Vehicles) - Male,Jumping (by Jumping off Moving Trains/Vehicles) - Female,Jumping (by Jumping off Moving Trains/Vehicles) - Transgender,Jumping (by Jumping off Moving Trains/Vehicles) - Total,By Coming under Running Vehicles/Trains - Male,By Coming under Running Vehicles/Trains - Female,By Coming under Running Vehicles/Trains - Transgender,By Coming under Running Vehicles/Trains - Total,By Touching Electric Wire - Male,By Touching Electric Wire - Female,By Touching Electric Wire - Transgender,By Touching Electric Wire - Total,By Other Means - Male,By Other Means - Female,By Other Means - Transgender,By Other Means - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
11,State,Jharkhand,59,47,0,106,88,92,0,180,11,36,0,47,5,11,0,16,862,375,0,1237,233,186,0,419,175,151,0,326,58,35,0,93,11,0,0,11,57,4,0,61,3,0,0,3,0,0,0,0,54,4,0,58,32,8,0,40,27,0,0,27,1,0,0,1,1386,759,0,2145
12,State,Karnataka,16,17,0,33,735,380,0,1115,113,84,0,197,11,2,0,13,5825,1789,0,7614,1892,694,0,2586,1644,621,0,2265,248,73,0,321,79,8,0,87,48,19,0,67,48,19,0,67,0,0,0,0,0,0,0,0,381,45,0,426,4,1,0,5,87,28,1,116,9191,3067,1,12259
13,State,Kerala,18,14,0,32,214,176,0,390,108,216,0,324,4,11,0,15,5427,1255,0,6682,612,184,0,796,395,115,0,510,217,69,0,286,20,10,0,30,41,17,0,58,9,6,0,15,1,1,0,2,31,10,0,41,40,7,0,47,4,1,0,5,82,39,0,121,6570,1930,0,8500
14,State,Madhya Pradesh,20,15,0,35,297,222,0,519,201,485,0,686,37,5,0,42,6538,2653,0,9191,2389,1480,0,3869,1703,1080,0,2783,686,400,0,1086,11,8,0,19,85,24,0,109,20,9,0,29,8,1,0,9,57,14,0,71,38,9,0,47,31,7,0,38,16,7,0,23,9663,4915,0,14578
15,State,Maharashtra,21,14,0,35,977,437,0,1414,212,186,1,399,10,0,0,10,10249,2544,2,12795,3347,1113,1,4461,3032,984,1,4017,315,129,0,444,34,24,0,58,199,79,0,278,149,71,0,220,20,7,0,27,30,1,0,31,263,35,0,298,19,4,0,23,102,36,0,138,15433,4472,4,19909
16,State,Manipur,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,24,14,0,38,2,2,0,4,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,17,0,44
17,State,Meghalaya,0,0,0,0,4,0,0,4,0,0,0,0,1,0,0,1,155,58,0,213,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,3,1,0,4,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,61,0,224
18,State,Mizoram,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,88,19,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,20,0,108
19,State,Nagaland,0,0,0,0,5,0,0,5,0,0,0,0,1,0,0,1,26,12,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,36,12,0,48
20,State,Odisha,0,0,0,0,164,90,0,254,47,48,0,95,0,0,0,0,1825,707,0,2532,1778,755,0,2533,50,35,0,85,1728,720,0,2448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,12,0,67,0,0,0,0,40,25,0,65,3909,1637,0,5546
21,State,Punjab,5,5,0,10,112,27,0,139,22,17,0,39,26,5,0,31,1154,366,1,1521,472,166,0,638,355,128,0,483,117,38,0,155,8,4,0,12,12,6,0,18,9,6,0,15,1,0,0,1,2,0,0,2,171,21,0,192,1,0,0,1,9,6,0,15,1992,623,1,2616
22,State,Rajasthan,62,19,0,81,327,138,0,465,29,27,0,56,20,1,0,21,2591,952,1,3544,528,314,0,842,273,192,0,465,255,122,0,377,36,18,0,54,182,67,0,249,74,25,0,99,63,28,0,91,45,14,0,59,169,39,0,208,73,53,0,126,10,2,0,12,4027,1630,1,5658
23,State,Sikkim,0,0,0,0,4,0,0,4,1,0,0,1,0,0,0,0,187,60,0,247,1,1,0,2,1,1,0,2,0,0,0,0,0,0,0,0,10,1,0,11,0,0,0,0,10,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,20,217,68,0,285
24,State,Tamil Nadu,137,68,0,205,520,349,0,869,520,572,1,1093,3,14,0,17,6245,2384,7,8636,3925,1822,2,5749,2840,1290,2,4132,1085,532,0,1617,13,1,0,14,57,32,0,89,51,31,0,82,6,1,0,7,0,0,0,0,58,13,0,71,107,17,0,124,13,3,0,16,11598,5275,10,16883
25,State,Telangana,14,18,0,32,389,197,0,586,190,97,0,287,3,3,0,6,2145,692,1,2838,2694,1071,0,3765,2400,970,0,3370,294,101,0,395,0,0,0,0,126,57,0,183,93,56,0,149,33,1,0,34,0,0,0,0,310,27,0,337,0,0,0,0,22,2,0,24,5893,2164,1,8058
26,State,Tripura,0,0,0,0,8,1,0,9,2,8,0,10,0,0,0,0,524,212,0,736,60,27,0,87,47,22,0,69,13,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,596,249,0,845
27,State,Uttar Pradesh,26,30,0,56,112,59,0,171,70,136,0,206,97,46,0,143,2103,797,0,2900,378,356,0,734,232,210,0,442,146,146,0,292,26,12,0,38,69,29,0,98,21,7,0,28,0,0,0,0,48,22,0,70,27,12,0,39,59,3,0,62,195,162,0,357,3162,1642,0,4804
28,State,Uttarakhand,0,0,0,0,10,5,0,15,10,0,0,10,4,1,0,5,411,157,0,568,190,103,0,293,91,60,0,151,99,43,0,142,0,0,0,0,10,3,0,13,8,3,0,11,1,0,0,1,1,0,0,1,5,0,0,5,0,0,0,0,27,7,0,34,667,276,0,943
29,State,West Bengal,4,5,0,9,251,102,0,353,74,236,0,310,1,4,0,5,3684,2373,0,6057,1587,915,0,2502,349,232,0,581,1238,683,0,1921,11,2,0,13,5,5,0,10,3,2,0,5,1,1,0,2,1,2,0,3,6,2,0,8,29,17,0,46,2315,1475,0,3790,7967,5136,0,13103
State,State,Total (States),508,327,0,835,5281,2668,0,7949,1911,2672,3,4586,284,138,0,422,62966,22350,13,85329,26119,11996,5,38120,17734,7973,5,25712,8385,4023,0,12408,325,116,0,441,1327,447,0,1774,633,285,0,918,180,56,0,236,514,106,0,620,2267,359,0,2626,501,119,0,620,4173,2160,1,6334,105662,43352,22,149036
30,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,119,40,0,159,7,7,0,14,5,2,0,7,2,5,0,7,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,130,50,0,180
31,Union Territory,Chandigarh,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,69,35,0,104,7,5,0,12,6,3,0,9,1,2,0,3,0,1,0,1,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,80,48,0,128
32,Union Territory,D & N Haveli,0,1,0,1,8,1,0,9,0,1,0,1,0,0,0,0,96,36,0,132,9,4,0,13,3,3,0,6,6,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,43,0,156
33,Union Territory,Daman & Diu,0,1,0,1,8,1,0,9,0,1,0,1,0,0,0,0,96,36,0,132,9,4,0,13,3,3,0,6,6,1,0,7,0,0,0,0,47,18,0,65,32,10,0,42,5,4,0,9,10,4,0,14,0,0,0,0,5,4,0,9,208,85,0,293,2247,895,0,3142
34,Union Territory,Delhi (UT),30,15,0,45,17,2,0,19,9,3,0,12,15,4,0,19,1791,720,0,2511,116,38,0,154,22,8,0,30,94,30,0,124,9,6,0,15,47,18,0,65,32,10,0,42,5,4,0,9,10,4,0,14,0,0,0,0,5,4,0,9,208,85,0,293,2247,895,0,3142
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
36,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,223,23,0,0,23,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,109,0,162,299,109,0,408
Union Territory,Union Territory,Total (UTs),31,17,0,48,33,4,0,37,10,8,0,18,18,4,0,22,2395,868,0,3263,171,58,0,229,39,19,0,58,132,39,0,171,9,7,0,16,95,39,0,134,64,23,0,87,11,8,0,19,20,8,0,28,0,0,0,0,10,8,0,18,471,283,0,754,5117,2041,0,7158
Total (All India),Total (All India),Total (All India),539,343,0,882,5306,2671,0,7977,1921,2679,3,4603,302,142,0,444,65265,23182,13,88460,26281,12050,5,38336,17770,7989,5,25764,8511,4061,0,12572,334,123,0,457,1375,468,0,1843,665,298,0,963,186,60,0,246,524,110,0,634,2267,359,0,2626,506,123,0,629,4436,2358,1,6795,108532,44498,22,153052
